fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.169,other,23.7,0.15,1.41,0.1,0.36,124,actual,643,actual,0.78,3,2,2,1,3,0,1,471176,7454,487555,1966699,700,15316,7794,456,0.55,986,767,124,0.8300653594769999,1194,4110080,1848176,1574243,2021-07-24,https://covidactnow.org/us/oklahoma-ok,0.467,0.398,0,3393758
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.037,other,9.6,0.32,1.31,0.1,0.13,35,actual,520,actual,0.7,2,1,1,1,2,0,0,214869,2867,209339,3771105,656,9401,5167,183,0.66,791,555,35,0.755994358251,606,5747345,2534585,2341087,2021-07-24,https://covidactnow.org/us/oregon-or,0.601,0.555,2,4699465
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.027,other,3.8,0.62,1.33,0.1,0.06,63,actual,2745,actual,0.74,2,0,1,1,2,0,1,1223476,27820,1254593,14407340,1508,46557,26008,481,0.64,3811,2808,63,0.775986525505,450,16103555,8281904,6613153,2021-07-24,https://covidactnow.org/us/pennsylvania-pa,0.647,0.517,1,14377062
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.055,other,4.8,,1.29,0.13,0.04,9,actual,440,actual,0.7,2,1,1,4,2,0,0,175974,2566,78150,1078648,10,8813,5977,74,0.5756390801914323,643,449,9,0.6750265957446808,0,4252930,2175894,1890079,2021-07-24,https://covidactnow.org/us/puerto_rico-pr,0.681,0.592,0,3934047
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.015,other,6.4,0.59,1.43,0.22,0.07,3,actual,121,actual,0.76,3,0,1,1,3,0,1,153447,2739,182402,3640879,200,4180,2018,68,0.59,163,124,3,0.7,92,1549965,702499,644669,2021-07-24,https://covidactnow.org/us/rhode_island-ri,0.663,0.609,0,1315071
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.088,other,14.0,0.22,1.41,0.1,0.12,53,actual,839,actual,0.7,3,1,2,1,3,0,0,606833,9878,638229,6018490,775,15463,9027,218,0.63,1283,892,53,0.73875083949,1243,5460695,2359156,2067305,2021-07-24,https://covidactnow.org/us/south_carolina-sc,0.458,0.402,2,4340066
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.074,other,3.2,2.47,1.34,0.38,0.05,6,actual,120,actual,0.54,2,1,1,0,2,0,0,124948,2041,71239,595275,350,3379,1636,28,0.47,235,126,6,0.47,0,984805,459829,411798,2021-07-24,https://covidactnow.org/us/south_dakota-sd,0.52,0.465,0,841109
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.085,other,14.0,0.26,1.46,0.1,0.16,131,actual,1568,actual,0.71,3,1,2,1,3,0,1,867413,12580,799538,6493501,1226,25754,13357,409,0.62,2409,1699,131,0.8780727630290001,1544,6584550,2991658,2641374,2021-07-24,https://covidactnow.org/us/tennessee-tn,0.438,0.387,7,5656475
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.119,other,16.7,0.15,1.38,0.1,0.46,845,actual,5046,actual,0.86,2,2,2,1,2,0,3,3023651,53118,3293293,24976964,3722,96942,51867,3158,0.62,6876,5891,845,0.63,6812,32783835,14610905,12527659,2021-07-24,https://covidactnow.org/us/texas-tx,0.504,0.432,48,26881088
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.107,other,23.2,0.32,1.22,0.1,0.37,118,actual,310,actual,0.68,2,2,2,1,2,0,0,426489,2425,517719,3889065,1200,7404,3953,290,0.56,629,428,118,0.58,815,3328840,1642958,1417495,2021-07-24,https://covidactnow.org/us/utah-ut,0.512,0.442,0,2958837
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.058,other,6.4,0.57,1.35,0.1,0.08,55,actual,1201,actual,0.66,2,1,1,1,2,0,0,688300,11500,956604,7579246,1547,22998,13360,297,0.65,1912,1256,55,0.52701127089,750,10689895,5194300,4602116,2021-07-24,https://covidactnow.org/us/virginia-va,0.609,0.539,7,9557273
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.014,other,2.9,0.59,1.29,0.44,0.04,1,actual,78,actual,0.75,2,0,1,1,2,0,1,24676,259,35303,1800862,53,1703,892,3,0.69,105,79,1,0.5,29,941980,468565,419135,2021-07-24,https://covidactnow.org/us/vermont-vt,0.751,0.672,0,868129
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.033,other,11.4,0.49,1.29,0.1,0.21,92,actual,854,actual,0.74,2,1,2,1,2,0,1,467489,6124,329936,6359014,2122,17724,10059,510,0.7,1285,946,92,0.67,420,9641335,4814552,4340518,2021-07-24,https://covidactnow.org/us/washington-wa,0.632,0.57,10,8902244
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.035,other,5.5,0.37,1.4,0.1,0.04,33,actual,864,actual,0.56,2,1,1,1,2,0,0,681676,8240,746600,9224672,600,19111,9030,126,0.56,1603,897,33,0.58,502,6304575,3200822,2990371,2021-07-24,https://covidactnow.org/us/wisconsin-wi,0.55,0.514,6,6091711
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.035,other,6.1,0.45,1.29,0.16,0.18,33,actual,478,actual,0.77,2,1,1,1,2,0,1,165702,2936,199094,2708503,248,8395,4827,90,0.58,666,511,33,0.67,178,1946785,821791,697335,2021-07-24,https://covidactnow.org/us/west_virginia-wv,0.459,0.389,2,1483672
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.051,other,18.0,0.1,1.14,0.14,0.24,23,actual,40,actual,0.47,2,1,2,2,2,0,0,64251,766,54775,783111,50,1883,865,60,0.4,134,63,23,0.467213114754,110,523305,237580,209938,2021-07-24,https://covidactnow.org/us/wyoming-wy,0.41,0.363,0,441699
